1,2,28
2,2,34
1,1,33
2,2,34
1,3,23
1,2,28
1,2,30
1,2,28
1,2,23
1,3,32
1,1,26
1,1,29
1,2,21
1,3,36
1,2,22
1,1,26
1,2,39
1,1,32
2,2,34
2,3,34
1,2,38
1,2,34
2,2,24
1,2,33
1,3,31
1,2,16
2,1,36
2,2,39
2,1,16
1,2,30
2,3,34
2,1,31
2,1,34
2,3,14
2,2,27
2,2,23
1,2,37
2,2,29
1,1,31
2,2,29
1,1,30
2,2,27
1,1,31
2,2,23
2,3,26
2,2,32
1,1,28
1,1,29
2,2,38
2,2,34
2,1,27
2,1,24
2,3,21
2,1,40
2,1,15
1,3,29
2,3,29
2,2,32
1,3,27
1,1,33
2,2,33
2,3,16
1,2,32
1,3,30
1,3,21
2,2,24
1,3,25
2,1,38
2,1,20
2,3,39
1,1,27
2,2,30
2,1,33
1,2,18
1,2,36
2,2,32
2,2,32
1,1,32
1,1,31
1,2,31
2,1,32
2,2,30
2,1,29
2,2,31
1,3,39
1,3,34
2,1,32
2,2,40
2,1,34
2,1,30
1,1,26
1,1,26
2,1,36
1,3,31
2,2,27
1,2,34
2,2,30
1,1,29
1,1,26
2,2,32
1,1,30
2,1,30
1,1,30
2,1,36
